"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"53","ASV_59","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"54","ASV_60","High","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"55","ASV_61","High-MH","None","Eukaryota","Chordata","Mammalia","Carnivora","Canidae","Canis",NA
"56","ASV_62","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"57","ASV_63","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"58","ASV_64","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"59","ASV_65","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"60","ASV_66","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"61","ASV_67","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"62","ASV_68","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"63","ASV_70","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"64","ASV_71","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae",NA,NA
"65","ASV_72","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"66","ASV_73","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"67","ASV_74","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"68","ASV_75","Low","9742","Eukaryota","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena phocoena"
"69","ASV_76","Low","40151","Eukaryota","Chordata","Mammalia","Artiodactyla","Monodontidae","Monodon","Monodon monoceros"
"70","ASV_77","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"71","ASV_78","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"72","ASV_79","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"73","ASV_80","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"74","ASV_81","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"75","ASV_82","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"76","ASV_83","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"77","ASV_84","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"78","ASV_85","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"79","ASV_86","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"80","ASV_87","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"81","ASV_89","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"82","ASV_90","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"83","ASV_91","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"84","ASV_92","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"85","ASV_93","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"86","ASV_94","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"87","ASV_95","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"88","ASV_96","Low","39293","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Cystophora","Cystophora cristata"
"89","ASV_97","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"90","ASV_99","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"91","ASV_100","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"92","ASV_101","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"93","ASV_102","Low","9767","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"94","ASV_104","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus",NA
"95","ASV_105","High","47308","Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Neogobius","Neogobius melanostomus"
"96","ASV_106","Low","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"97","ASV_107","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"98","ASV_109","Low","9823","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"99","ASV_110","Low","9823","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"100","ASV_111","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"101","ASV_112","Low","9823","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"102","ASV_113","Low","138695","Eukaryota","Chordata","Mammalia","Chiroptera","Phyllostomidae","Carollia","Carollia brevicauda"
"103","ASV_114","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus",NA
"104","ASV_115","Low","9823","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"105","ASV_116","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"106","ASV_117","Low","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"107","ASV_118","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"108","ASV_119","High-MH","None","Eukaryota","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Tor",NA
