"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"54","ASV_61","Low","39090","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca largha"
"55","ASV_62","High-MH","None","Eukaryota","Chordata","Aves","Columbiformes","Columbidae",NA,NA
"56","ASV_65","Low","7950","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus"
"57","ASV_67","High","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"58","ASV_68","High","8932","Eukaryota","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba livia"
"59","ASV_69","High-MH","None","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae",NA,NA
"60","ASV_70","High-MH","None","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae",NA,NA
"61","ASV_71","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"62","ASV_72","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"63","ASV_73","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"64","ASV_74","Low","215414","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Lycenchelys","Lycenchelys sarsii"
"65","ASV_75","High","9767","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"66","ASV_76","High-MH","None","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"67","ASV_78","High-MH","None","Eukaryota","Chordata","Actinopteri","Perciformes",NA,NA,NA
"68","ASV_79","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Capra",NA
"69","ASV_81","High","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"70","ASV_82","High-MH","None","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae",NA,NA
"71","ASV_83","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"72","ASV_84","Low","479980","Eukaryota","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarhichas","Anarhichas orientalis"
"73","ASV_85","High","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"74","ASV_86","High-MH","None","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae",NA,NA
"75","ASV_87","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"76","ASV_88","Low","8934","Eukaryota","Chordata","Aves","Columbiformes","Columbidae","Columba","Columba palumbus"
"77","ASV_89","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"78","ASV_90","High","7950","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea harengus"
"79","ASV_91","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"80","ASV_92","Low","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"81","ASV_93","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"82","ASV_94","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"83","ASV_95","Low","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"84","ASV_96","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"85","ASV_98","Low","39090","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca largha"
"86","ASV_99","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"87","ASV_100","High-MH","None","Eukaryota","Chordata","Mammalia","Primates",NA,NA,NA
"88","ASV_101","Low","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"89","ASV_102","High","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"90","ASV_103","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"91","ASV_104","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"92","ASV_105","Low","90247","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus obliquidens"
"93","ASV_106","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"94","ASV_107","Low","39090","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca largha"
