"","PC022_119_2","PC022_119_4","PC022_119_5","PC022_119_7","PC022_119_8","PC022_120_1","PC022_120_3","PC022_120_4","PC022_120_5","PC022_120_6","PC022_120_7","PC022_120_8","PC022_121_1","PC022_121_4","PC022_122_4","PC022_122_5","PC022_122_8","PC022_123_2","PC022_123_3","PC022_123_5","PC022_124_1","PC022_124_5","PC022_124_6","PC022_124_8","PC022_125_1","PC022_125_3","PC022_125_5","PC022_125_6","PC022_126_1","PC022_126_2","PC022_126_5","PC022_127_2","PC022_127_4","PC022_127_5","PC022_127_6","PC022_127_8","PC022_128_1","PC022_128_3","PC022_128_5","PC022_128_6","PC022_128_7","PC022_129_1","PC022_129_5","PC022_129_7","PC022_39_1","PC022_39_2","PC022_39_3","PC022_39_4","PC022_39_6","PC022_39_7","PC022_39_8","PC022_40_2","PC022_40_8","PC022_41_1","PC022_41_2","PC022_41_3","PC022_41_4","PC022_41_5","PC022_41_8","PC022_42_1","PC022_42_2","PC022_42_7","PC022_42_8","PC022_43_1","PC022_43_2","PC022_43_3","PC022_43_5","PC022_43_7","PC022_43_8","PC022_44_3","PC022_44_4","PC022_44_7","PC022_45_2","PC022_45_3","PC022_45_5","PC022_45_7","PC022_45_8","PC022_46_1","PC022_46_4","PC022_46_7","PC022_46_8","PC022_47_2","PC022_47_3","PC022_47_4","PC022_47_7","PC022_48_2","PC022_48_3","PC022_48_6","PC022_48_7","PC022_48_8","PC022_49_2","PC022_49_4","PC022_49_8","PC022_50_2","PC022_50_7","PC022_50_8","PC022_51_2","PC022_51_3","PC022_51_5","PC022_52_4","PC022_52_5","PC022_80_2","PC022_80_4","PC022_80_6","PC022_81_6","PC022_81_7","PC022_82_3","PC022_82_4","PC022_82_5","PC022_82_8","PC022_83_3","PC022_83_4","PC022_83_8","PC022_84_1","PC022_84_3","PC022_84_4","PC022_85_4","PC022_85_5","PC022_85_7","PC022_86_4","PC022_86_7","PC022_86_8","PC022_87_4","PC022_87_5","PC022_89_4","PC022_89_5","PC022_89_8","PC022_90_4","PC022_90_5","PC022_90_8"
"ASV_21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_22",0,0,0,0,0,0,47,45,569,0,46,17,0,0,0,0,0,5,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,71,290,0,0,10,0,0,0,0,23,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,41,45,0,0,0,0,0,0,0,28,0,11,0,50,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,0,0,0,0,20,0,0,8,0,0,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
