ID,Site,Excavation,Context,Species,%C ,C,%N ,N,C/N ratio,Century,Dating,MiddleDate,Source
79859,BRV,15,3,cod,22.7,-12.5,8.1,12.7,3.27,18,14C (1820±32),1820,https://www.nature.com/articles/s41598-021-92243-65
79860,BRV,15,3,cod,23.3,-12.4,8.5,12.5,3.21,18,14C (1820±32),1820,https://www.nature.com/articles/s41598-021-92243-66
79864,BRV,15,6,wolffish,32.2,-13.2,12.2,11.1,3.09,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-67
79865,BRV,15,6,cod,25.9,-12.4,9.8,12.6,3.11,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-68
79868,BRV,15,6,cod,20.6,-12.8,7.6,12.5,3.18,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-69
79869,BRV,15,6,cod,19.7,-13.2,7.1,13,3.25,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-70
79870,BRV,15,6,cod,30.9,-14.9,11.4,13.5,3.17,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-71
79871,BRV,15,6,cod,21.4,-13,7.9,12.9,3.17,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-72
79872,BRV,15,6,cod,18.3,-13.2,6.6,13,3.23,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-73
79873,BRV,15,6,cod,29.6,-14.6,11.1,13.6,3.12,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-74
79874,BRV,15,6,cod,21.4,-12.7,8,12.8,3.12,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-75
79875,BRV,15,6,cod,20.2,-12.3,7.4,14,3.17,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-76
79876,BRV,15,6,cod,11.1,-13.3,3.9,12.9,3.29,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-77
79877,BRV,15,6,cod,19.5,-12.9,7.4,13,3.07,17,Context (1637-1680),1643,https://www.nature.com/articles/s41598-021-92243-78
79878,BRV,15,8,haddock,23.8,-11.3,8.9,13.6,3.11,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-79
80625,BRV,15,8,haddock,17.6,-12.8,6.4,11.9,3.23,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-80
80627,BRV,15,8,cod,30.4,-14.9,10.5,13.1,3.38,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-81
80628,BRV,15,8,cod,30.3,-13.9,11.1,12.6,3.18,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-82
80629,BRV,15,8,cod,26,-14,9.1,13.6,3.32,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-83
80630,BRV,15,8,cod,31.5,-13,11.4,13.6,3.25,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-84
80631,BRV,15,8,cod,31.6,-12.4,11.1,13.4,3.33,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-85
80632,BRV,15,8,cod,28.2,-12.9,10.1,14.4,3.28,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-86
80635,BRV,15,8,cod,28.8,-11.7,10.7,13.4,3.17,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-87
80636,BRV,15,8,cod,32.2,-12.4,11.7,13.6,3.22,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-88
80637,BRV,15,8,cod,29.6,-12.9,10.9,12.8,3.17,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-89
80638,BRV,15,8,cod,30.4,-12.7,11.1,13,3.2,10,14C (970±30),970,https://www.nature.com/articles/s41598-021-92243-90
80639,BRV,15,8,cod,14.1,-12.2,5.2,13.1,3.2,19,14C (1890±32),1890,https://www.nature.com/articles/s41598-021-92243-91
80640,BRV,15,12,wolffish,12,-14.9,3.9,12.2,3.56,19,14C (1890±32),1890,https://www.nature.com/articles/s41598-021-92243-92
80641,BRV,15,12,wolffish,11.4,-14.3,3.8,12.2,3.49,19,14C (1890±32),1890,https://www.nature.com/articles/s41598-021-92243-93
80642,BRV,15,8,cod,12.4,-14.2,4,13.2,3.58,19,14C (1890±32),1890,https://www.nature.com/articles/s41598-021-92243-94
80647,BRV,15,14,haddock,13.2,-12.5,4.5,12.4,3.45,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-95
80648,BRV,15,14,wolffish,11.8,-12.6,4.2,11.3,3.33,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-96
80649,BRV,15,14,wolffish,26.9,-12.4,9.9,11.4,3.19,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-97
80650,BRV,15,14,wolffish,13.6,-12.6,4.8,11.1,3.34,16,Context (1410-1649),1530,https://www.nature.com/articles/s41598-021-92243-98
80905,BRV,15,16,haddock,36.9,-12.2,14.1,12.8,3.06,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-99
80906,BRV,15,16,haddock,37.8,-12.3,14.5,12.8,3.05,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-100
80918,BRV,15,16,cod,30.6,-12.7,11.6,12.1,3.09,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-101
80919,BRV,15,16,cod,30.8,-11.2,11.9,13.9,3.03,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-102
80920,BRV,15,16,cod,30.2,-12.3,11.5,12.6,3.06,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-103
80921,BRV,15,16,cod,34.2,-11.8,12.9,14,3.11,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-104
80922,BRV,15,16,cod,19.5,-12,7.1,13.8,3.2,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-105
80923,BRV,15,16,cod,29.3,-12.5,11,13.2,3.12,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-106
80924,BRV,15,16,cod,35.9,-12.1,13.7,12.7,3.07,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-107
80925,BRV,15,16,cod,34.4,-13,13.1,12.9,3.08,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-108
80926,BRV,15,16,cod,26.3,-12.1,10.1,12.1,3.06,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-109
80929,SGN,NA,102,cod,30.1,-12.5,11.1,12.7,3.19,14,Context (< 1239),1230,https://www.nature.com/articles/s41598-021-92243-110
80931,SGN,NA,101,cod,28.7,-12.8,10.5,13.9,3.22,14,14C (1239±25) ,1239,https://www.nature.com/articles/s41598-021-92243-111
80932,SGN,NA,187,cod,37.7,-13,14,14.4,3.16,14,14C (1350±50),1350,https://www.nature.com/articles/s41598-021-92243-112
81117,BRV,15,12,haddock,21.7,-13.4,7.4,12.4,3.44,19,14C (1890±32),1890,https://www.nature.com/articles/s41598-021-92243-113
81129,BRV,15,16,cod,33.1,-11.8,12.5,13.6,3.11,14,14C (1410±30),1410,https://www.nature.com/articles/s41598-021-92243-114
81130,SGN,NA,102,cod,39.6,-14.5,14.2,13.8,3.26,14,Context (< 1239),1230,https://www.nature.com/articles/s41598-021-92243-115
81131,SGN,NA,187,cod,20.1,-14.7,7.2,12.8,3.28,14,14C (1350±50),1350,https://www.nature.com/articles/s41598-021-92243-116
81133,SGN,NA,187,cod,19,-13,7,13.4,3.15,14,14C (1350±50),1350,https://www.nature.com/articles/s41598-021-92243-117
83519,ISA,NA,NA,haddock,43.1,-14.83394,12.6,11.9,3.43,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-118
83520,ISA,NA,NA,haddock,42.2,-15.10151,12.2,11.7,3.47,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-119
83521,ISA,NA,NA,haddock,43.8,-15.08075,12.6,12.9,3.47,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-120
83524,ISA,NA,NA,haddock,44.4,-15.44631,12.4,11.9,3.59,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-121
83526,ISA,NA,NA,haddock,44,-14.73328,12.4,12.7,3.55,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-122
83527,ISA,NA,NA,haddock,43.6,-14.75384,12.8,12.3,3.39,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-123
83528,ISA,NA,NA,haddock,43.2,-14.31259,12.9,13,3.36,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-124
83532,ISA,NA,NA,cod,36.1,-14.3,14,12.5,3.02,21,2018,2018,https://www.nature.com/articles/s41598-021-92243-125
