"","SenseDemultiplex","SenseStripped","AntiSenseDemultiplex","AntSenseStripped"
"EUK.Neg1_1_1-1.S",1,1,3,3
"EUK.Neg1_2_1-2.S",0,0,0,0
"EUK.Neg1_3_1-3.S",3,3,0,0
"EUK.Neg1_4_1-4.S",0,0,0,0
"EUK.Neg1_5_1-5.S",2,1,2,2
"EUK.Neg1_6_1-6.S",7,6,3,3
"EUK.Neg1_7_1-7.S",0,0,0,0
"EUK.Neg1_8_1-8.S",3,3,2,2
"EUK.Neg2_1_1-1.S",12,12,20,20
"EUK.Neg2_2_1-2.S",1,1,0,0
"EUK.Neg2_3_1-3.S",2,2,1,1
"EUK.Neg2_4_1-4.S",0,0,0,0
"EUK.Neg2_5_1-5.S",0,0,1,1
"EUK.Neg2_6_1-6.S",5,4,3,1
"EUK.Neg2_7_1-7.S",1,1,0,0
"EUK.Neg2_8_1-8.S",0,0,2,1
"EUK.Neg3_1_1-1.S",25,25,35,35
"EUK.Neg3_2_1-2.S",3,3,2,2
"EUK.Neg3_3_1-3.S",0,0,2,2
"EUK.Neg3_4_1-4.S",0,0,0,0
"EUK.Neg3_5_1-5.S",0,0,0,0
"EUK.Neg3_6_1-6.S",0,0,1,1
"EUK.Neg3_7_1-7.S",1,1,0,0
"EUK.Neg3_8_1-8.S",0,0,1,0
"EUK.Neg4_1_2-1.S",1,1,2,2
"EUK.Neg4_2_2-2.S",0,0,1,1
"EUK.Neg4_3_2-3.S",1,0,1,1
"EUK.Neg4_4_2-4.S",1,1,0,0
"EUK.Neg4_5_2-5.S",3,1,1,1
"EUK.Neg4_6_2-6.S",2,2,2,2
"EUK.Neg4_7_2-7.S",0,0,2,2
"EUK.Neg4_8_2-8.S",0,0,2,2
"EUK.Neg5_1_2-1.S",0,0,0,0
"EUK.Neg5_2_2-2.S",2,2,1,1
"EUK.Neg5_3_2-3.S",3,3,1,1
"EUK.Neg5_4_2-4.S",2,2,0,0
"EUK.Neg5_5_2-5.S",6,4,5,5
"EUK.Neg5_6_2-6.S",0,0,2,0
"EUK.Neg5_7_2-7.S",11,8,12,12
"EUK.Neg5_8_2-8.S",2,2,3,2
"EUK.Neg6_1_2-1.S",0,0,2,2
"EUK.Neg6_2_2-2.S",1,1,3,3
"EUK.Neg6_3_2-3.S",2,1,6,4
"EUK.Neg6_4_2-4.S",0,0,1,1
"EUK.Neg6_5_2-5.S",1,1,2,2
"EUK.Neg6_6_2-6.S",129,124,143,136
"EUK.Neg6_7_2-7.S",0,0,0,0
"EUK.Neg6_8_2-8.S",1,1,0,0
"EUK.Neg7_1_3-1.S",1,1,0,0
"EUK.Neg7_2_3-2.S",0,0,0,0
"EUK.Neg7_3_3-3.S",0,0,0,0
"EUK.Neg7_4_3-4.S",0,0,1,1
"EUK.Neg7_5_3-5.S",0,0,0,0
"EUK.Neg7_6_3-6.S",1,0,2,1
"EUK.Neg7_7_3-7.S",0,0,1,1
"EUK.Neg7_8_3-8.S",2,0,1,1
"EUK.Neg8_1_3-1.S",57,50,46,36
"EUK.Neg8_2_3-2.S",0,0,1,1
"EUK.Neg8_3_3-3.S",2,1,0,0
"EUK.Neg8_4_3-4.S",0,0,0,0
