"","Sample","Core","Date_bp_mean","Date_CE_mean","year","d13C.GAM.fit","d13C.GAM.fit.se","d13C.GAM.fit.uppCI","d13C.GAM.fit.lwrCI","d13C.100yrspline","year","d18O.GAM.fit","d18O.GAM.fit.se","d18O.GAM.fit.uppCI","d18O.GAM.fit.lwrCI","d18O.100yrspline","year","SeaIceIndex.GAM.fit","SeaIceIndex.GAM.fit.se","SeaIceIndex.GAM.fit.uppCI","SeaIceIndex.GAM.fit.lwrCI","SeaIceIndex.100yrspline","yearCE","yearBP","MD99-2275sstAlkenone.GAM.fit","MD99-2275sstAlkenone.GAM.fit.se","MD99-2275sstAlkenone.GAM.fit.uppCI","MD99-2275sstAlkenone.GAM.fit.lwrCI","MD99-2275sstAlkenone.100yrspline","yearCE","yearBP","MD99-2275sstDiatom.GAM.fit","MD99-2275sstDiatom.GAM.fit.se","MD99-2275sstDiatom.GAM.fit.uppCI","MD99-2275sstDiatom.GAM.fit.lwrCI","MD99-2275sstDiatom.100yrspline"
"11","GC1-040","GC1",855,1095,1095,1.8767523665122,0.0444335715206157,1.9638421666926,1.78966256633179,1.88723581973337,1095,3.69956155569421,0.0407779929497295,3.77948642187568,3.61963668951274,3.66729046148744,NA,NA,NA,NA,NA,NA,1095,855,8.99854296879011,0.142299215732306,9.27744943162543,8.71963650595479,8.51069881848979,1095,855,7.40534662022354,0.0582034718056165,7.51942542496255,7.29126781548453,7.41743751296374
"12","GC1-044","GC1",925,1025,1025,2.0114632466334,0.0441546858915792,2.0980064309809,1.92492006228591,2.02678259485523,1025,3.47291843392974,0.0405898850397621,3.55247460860768,3.39336225925181,3.43734567261622,NA,NA,NA,NA,NA,NA,1025,925,8.96659026048742,0.140187247592501,9.24135726576872,8.69182325520612,8.480387027821,1025,925,7.46079197370554,0.0607019475627885,7.57976779092861,7.34181615648248,7.45890954730002
"13","GC1-048","GC1",992,958,958,1.82007750107907,0.0600187603222227,1.93771427131062,1.70244073084751,1.92512720907784,958,3.52299591696554,0.0562405366554386,3.6332273688102,3.41276446512088,3.52440098120331,NA,NA,NA,NA,NA,NA,958,992,8.45250878847262,0.139058017545217,8.72506250286125,8.17995507408399,8.41770465674193,958,992,7.50662735083229,0.0634070437716395,7.6309051566247,7.38234954503987,7.48894890781249
"14","GC1-052","GC1",1053,897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,897,1053,8.06550721367024,0.141398680745266,8.34264862793096,7.78836579940952,8.35170995346259,897,1053,7.54388051945151,0.0658240415996016,7.67289564098673,7.41486539791629,7.51252558169781
"15","GC1-056","GC1",1111,839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839,1111,8.04207924573749,0.141516802826453,8.31945217927733,7.76470631219764,8.28904128212933,839,1111,7.57672494955775,0.0678789483456333,7.70976768831519,7.44368221080031,7.53589446119388
"16","GC1-060","GC1",1167,783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783,1167,8.02440638942239,0.141624449992816,8.30199031140831,7.74682246743647,8.23210982229481,783,1167,7.60688818467823,0.0695491177400428,7.74320445544872,7.47057191390775,7.56019485283682
"17","GC1-064","GC1",1225,725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725,1225,7.8428186743597,0.14264279688982,8.12239855626374,7.56323879245565,8.18577843361668,725,1225,7.63703134210903,0.0709262791012915,7.77604684914756,7.4980158350705,7.59189485961649
"18","GC1-068","GC1",1282,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668,1282,7.78122701703411,0.141662939615738,8.05888637868095,7.50356765538726,8.15948310321819,668,1282,7.6657066628418,0.0719551015020699,7.80673866178585,7.52467466389774,7.62516085101857
"19","GC1-072","GC1",1338,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,612,1338,8.04591629821529,0.142965829940823,8.3261293248993,7.76570327153127,8.15314288286203,612,1338,7.69263965825175,0.0727023884022843,7.83513633952023,7.55014297698328,7.66483881348013
"20","GC1-076","GC1",1395,555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555,1395,8.38689267758193,0.142141072529516,8.66548917973978,8.10829617542408,8.16608694937752,555,1395,7.71810496191354,0.0732524867074217,7.86167983586008,7.57453008796699,7.69935700014531
"21","GC1-080","GC1",1453,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,1453,8.44377628881714,0.142342639386413,8.72276786201451,8.16478471561977,8.19370605272143,497,1453,7.74145638772811,0.0736667439357837,7.88584320584224,7.59706956961397,7.73189377933692
"22","GC1-084","GC1",1524,426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,1524,8.27128335898092,0.14238216583453,8.5503524040166,7.99221431394524,8.23375136990313,426,1524,7.76649528866987,0.0740876665777249,7.91170711516221,7.62128346217753,7.76283337644912
"23","GC1-088","GC1",1596,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,1596,8.22092261195785,0.141937816219283,8.49912073174765,7.94272449216806,8.26753852946346,354,1596,7.78842162560758,0.0745540741050423,7.93454761085346,7.6422956403617,7.77993272899979
"24","GC1-092","GC1",1668,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,1668,8.16012808380996,0.142361335081067,8.43915630056885,7.88109986705107,8.31735160823414,282,1668,7.80834011647622,0.0752067864196154,7.95574541785867,7.66093481509378,7.78453323667096
"25","GC1-096","GC1",1742,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,1742,8.17468954604086,0.143988686720476,8.456907372013,7.89247172006873,8.3860598227949,208,1742,7.82874278192271,0.0762202925017971,7.97813455522623,7.67935100861918,7.80052343709055
