"","SenseDemultiplex","SenseStripped","AntiSenseDemultiplex","AntSenseStripped"
"EUK.PC019-223_1_4-1.S",163587,161482,197541,194803
"EUK.PC019-223_2_4-2.S",107163,105707,113259,111726
"EUK.PC019-223_3_4-3.S",199066,196859,204922,202205
"EUK.PC019-223_4_4-4.S",109550,107683,131147,129031
"EUK.PC019-223_5_4-5.S",177168,174749,188078,185227
"EUK.PC019-223_6_4-6.S",168440,166075,185789,182964
"EUK.PC019-223_7_4-7.S",141784,140355,159333,157053
"EUK.PC019-223_8_4-8.S",96837,95466,111347,109769
"EUK.PC019-225_1_4-1.S",36119,35488,37893,37192
"EUK.PC019-225_2_4-2.S",111223,109973,122112,120341
"EUK.PC019-225_3_4-3.S",203548,201105,236539,233145
"EUK.PC019-225_4_4-4.S",156576,154084,174323,171441
"EUK.PC019-225_5_4-5.S",71378,70540,84627,83490
"EUK.PC019-225_6_4-6.S",138071,134823,141421,137774
"EUK.PC019-225_7_4-7.S",56393,55776,67616,66731
"EUK.PC019-225_8_4-8.S",59876,59048,61876,60921
"EUK.PC019-227_1_4-1.S",96675,95308,84353,83229
"EUK.PC019-227_2_4-2.S",83056,81758,84008,82689
"EUK.PC019-227_3_4-3.S",42914,42113,49367,48467
"EUK.PC019-227_4_4-4.S",146439,143913,186819,183398
"EUK.PC019-227_5_4-5.S",179449,177421,182180,179634
"EUK.PC019-227_6_4-6.S",105741,103875,125692,123310
"EUK.PC019-227_7_4-7.S",140112,138364,162893,160347
"EUK.PC019-227_8_4-8.S",160704,158303,164973,162267
"EUK.PC019-229_1_4-1.S",57340,56378,60778,59658
"EUK.PC019-229_2_4-2.S",103419,101576,128060,125566
"EUK.PC019-229_3_4-3.S",122556,120674,147176,144603
"EUK.PC019-229_4_4-4.S",192691,189479,212007,208157
"EUK.PC019-229_5_4-5.S",175264,172055,189865,186055
"EUK.PC019-229_6_4-6.S",198636,196037,205206,201991
"EUK.PC019-229_7_4-7.S",116472,114848,103932,102548
"EUK.PC019-229_8_4-8.S",185402,182852,187708,184815
"EUK.PC019-231_1_4-1.S",111873,110606,115194,113758
"EUK.PC019-231_2_4-2.S",106397,104486,113104,110958
"EUK.PC019-231_3_4-3.S",73221,72549,89655,88560
"EUK.PC019-231_4_4-4.S",84606,83679,87937,86844
"EUK.PC019-231_5_4-5.S",143915,142813,164093,162519
"EUK.PC019-231_6_4-6.S",115864,114518,132085,130603
"EUK.PC019-231_7_4-7.S",55127,54338,55005,54182
"EUK.PC019-231_8_4-8.S",193300,191819,220027,217620
"EUK.PC019-233_1_4-1.S",172503,170489,193397,190807
"EUK.PC019-233_2_4-2.S",154120,152184,179711,177265
"EUK.PC019-233_3_4-3.S",225922,223211,256381,252549
"EUK.PC019-233_4_4-4.S",119559,117874,135831,133960
"EUK.PC019-233_5_4-5.S",276099,273286,288532,285421
"EUK.PC019-233_6_4-6.S",151382,149031,156158,153622
"EUK.PC019-233_7_4-7.S",141244,139560,168089,165742
"EUK.PC019-233_8_4-8.S",82807,81796,87485,86359
"EUK.PC019-235_1_4-1.S",174721,172407,166652,164217
"EUK.PC019-235_2_4-2.S",137889,136304,142358,140144
"EUK.PC019-235_3_4-3.S",151067,148574,177300,173768
"EUK.PC019-235_4_4-4.S",27861,27479,27934,27431
"EUK.PC019-235_5_4-5.S",82867,81938,85541,84446
"EUK.PC019-235_6_4-6.S",197313,194016,201780,197912
"EUK.PC019-235_7_4-7.S",186931,184483,165622,163168
"EUK.PC019-235_8_4-8.S",103560,101979,107869,106038
"EUK.PC019-237_1_4-1.S",109553,107957,128582,126589
"EUK.PC019-237_2_4-2.S",105907,104332,126140,123957
"EUK.PC019-237_3_4-3.S",88208,86780,91319,89872
"EUK.PC019-237_4_4-4.S",121644,120266,127867,126026
"EUK.PC019-237_5_4-5.S",115674,114203,123871,122294
"EUK.PC019-237_6_4-6.S",101265,99797,107331,105648
"EUK.PC019-237_7_4-7.S",88274,87278,101197,99819
"EUK.PC019-237_8_4-8.S",74793,73991,84792,83500
"EUK.PC019-239_1_4-1.S",51577,50863,61534,60759
"EUK.PC019-239_2_4-2.S",17942,17630,18800,18425
"EUK.PC019-239_3_4-3.S",111625,110235,123989,122141
"EUK.PC019-239_4_4-4.S",88916,87727,103416,101881
"EUK.PC019-239_5_4-5.S",190812,188328,199182,196631
"EUK.PC019-239_6_4-6.S",92154,90690,90092,88517
"EUK.PC019-239_7_4-7.S",97174,95101,107216,104775
"EUK.PC019-239_8_4-8.S",29765,29405,36160,35593
"EUK.PC019-241_1_4-1.S",192522,189763,202982,199752
"EUK.PC019-241_2_4-2.S",84851,83607,97198,95521
"EUK.PC019-241_3_4-3.S",259431,255795,322121,317373
"EUK.PC019-241_4_4-4.S",201082,198793,248572,245272
"EUK.PC019-241_5_4-5.S",312847,309915,337956,334385
"EUK.PC019-241_6_4-6.S",18,17,23,22
"EUK.PC019-241_7_4-7.S",269562,267375,253448,250774
"EUK.PC019-241_8_4-8.S",153617,151976,142005,140451
"EUK.PC019-243_1_4-1.S",68470,67689,76231,75195
"EUK.PC019-243_2_4-2.S",84674,83416,91465,90005
"EUK.PC019-243_3_4-3.S",150533,147011,159495,155043
"EUK.PC019-243_4_4-4.S",36143,35672,44608,43927
"EUK.PC019-243_5_4-5.S",76374,75508,76046,75094
"EUK.PC019-243_6_4-6.S",160707,158124,166194,163451
"EUK.PC019-243_7_4-7.S",53400,52532,61494,60516
"EUK.PC019-243_8_4-8.S",28645,28126,28908,28317
"EUK.PC019-245_1_4-1.S",187104,184912,197577,194855
"EUK.PC019-245_2_4-2.S",134297,132260,150759,148307
"EUK.PC019-245_3_4-3.S",191609,188812,225708,221856
"EUK.PC019-245_4_4-4.S",131515,129704,158635,155724
"EUK.PC019-245_5_4-5.S",124578,123016,124479,122837
"EUK.PC019-245_6_4-6.S",101078,99386,111682,109889
"EUK.PC019-245_7_4-7.S",113845,112050,120657,118624
"EUK.PC019-245_8_4-8.S",122195,120398,144758,142302
"EUK.PC019-247_1_4-1.S",82425,81379,83883,82515
"EUK.PC019-247_2_4-2.S",136955,134742,153526,150720
"EUK.PC019-247_3_4-3.S",241809,238267,255424,250942
"EUK.PC019-247_4_4-4.S",127409,125063,131060,128385
"EUK.PC019-247_5_4-5.S",64302,63586,70910,70142
"EUK.PC019-247_6_4-6.S",80554,79420,79255,77975
"EUK.PC019-247_7_4-7.S",158752,156835,154951,152821
"EUK.PC019-247_8_4-8.S",152485,150727,162441,160001
"EUK.PC019-249_1_4-1.S",52766,51996,53726,52776
"EUK.PC019-249_2_4-2.S",130369,128371,125740,123659
"EUK.PC019-249_3_4-3.S",157291,154793,163643,160245
"EUK.PC019-249_4_4-4.S",61200,60099,68844,67505
"EUK.PC019-249_5_4-5.S",73392,72539,75328,73976
"EUK.PC019-249_6_4-6.S",89015,87510,94286,92377
"EUK.PC019-249_7_4-7.S",134849,132617,148109,145257
"EUK.PC019-249_8_4-8.S",142429,140231,142254,139461
"EUK.PC019-251_1_4-1.S",94345,92652,108887,106396
"EUK.PC019-251_2_4-2.S",90130,88101,96596,93960
"EUK.PC019-251_3_4-3.S",137766,134856,165195,160628
"EUK.PC019-251_4_4-4.S",63362,62158,71268,69452
"EUK.PC019-251_5_4-5.S",141946,140230,134710,132363
"EUK.PC019-251_6_4-6.S",154278,151563,157351,153685
"EUK.PC019-251_7_4-7.S",105410,103452,119073,116257
"EUK.PC019-251_8_4-8.S",89577,88089,105369,103092
"EUK.PC019-253_1_4-1.S",102790,100868,108643,106478
"EUK.PC019-253_2_4-2.S",38826,38051,45691,44852
"EUK.PC019-253_3_4-3.S",40198,39234,39232,38265
"EUK.PC019-253_4_4-4.S",80433,79151,89390,87620
"EUK.PC019-253_5_4-5.S",110501,109164,114341,112615
"EUK.PC019-253_6_4-6.S",54833,53864,56826,55610
"EUK.PC019-253_7_4-7.S",47402,46549,49568,48657
"EUK.PC019-253_8_4-8.S",82101,79930,85069,82615
"EUK.PC019-255_1_4-1.S",130684,128446,160457,157738
"EUK.PC019-255_2_4-2.S",76110,74746,78246,76689
"EUK.PC019-255_3_4-3.S",91140,89516,93161,91576
"EUK.PC019-255_4_4-4.S",112069,109972,110288,108123
"EUK.PC019-255_5_4-5.S",16945,16634,18582,18260
"EUK.PC019-255_6_4-6.S",72125,70231,71992,69913
"EUK.PC019-255_7_4-7.S",40306,39353,41269,40219
"EUK.PC019-255_8_4-8.S",47552,46519,61929,60469
"EUK.PC019-257_1_4-1.S",131069,128441,136578,133614
"EUK.PC019-257_2_4-2.S",51558,49975,55458,53808
"EUK.PC019-257_3_4-3.S",51383,50041,54364,52743
"EUK.PC019-257_4_4-4.S",42921,41843,55634,54302
"EUK.PC019-257_5_4-5.S",158062,155507,177109,173845
"EUK.PC019-257_6_4-6.S",28440,27743,29532,28854
"EUK.PC019-257_7_4-7.S",105219,103211,125109,122558
"EUK.PC019-257_8_4-8.S",117529,115208,129566,126790
"EUK.PC019-259_1_4-1.S",38560,37972,39471,38803
"EUK.PC019-259_2_4-2.S",54007,53142,60320,59296
"EUK.PC019-259_3_4-3.S",66675,65388,70544,68980
"EUK.PC019-259_4_4-4.S",83278,80987,88982,86503
