"","SenseDemultiplex","SenseStripped","AntiSenseDemultiplex","AntSenseStripped"
"EUK.IS-GC1-020-8-3.8.S",75690,73502,77966,75846
"EUK.IS-GC1-024-1-1.1.S",99358,96950,93015,90932
"EUK.IS-GC1-024-2-1.2.S",123829,121268,125521,123011
"EUK.IS-GC1-024-3-1.3.S",76440,74799,89027,87260
"EUK.IS-GC1-024-4-1.4.S",80279,78365,83304,81451
"EUK.IS-GC1-024-5-1.5.S",157179,152833,168661,164473
"EUK.IS-GC1-024-6-1.6.S",51909,50873,53418,52364
"EUK.IS-GC1-024-7-1.7.S",71192,69295,74689,72886
"EUK.IS-GC1-024-8-1.8.S",79159,77414,79802,77954
"EUK.IS-GC1-028-1-3.1.S",96204,92562,99458,96515
"EUK.IS-GC1-028-2-3.2.S",17888,16725,19839,18715
"EUK.IS-GC1-028-3-3.3.S",47061,45894,51780,50576
"EUK.IS-GC1-028-4-3.4.S",118245,115808,120065,117868
"EUK.IS-GC1-028-5-3.5.S",95827,93264,105055,102560
"EUK.IS-GC1-028-6-3.6.S",77746,75426,83439,81221
"EUK.IS-GC1-028-7-3.7.S",16705,16098,18406,17800
"EUK.IS-GC1-028-8-3.8.S",76645,74000,80330,77719
"EUK.IS-GC1-032-1-1.1.S",142420,139236,145953,142967
"EUK.IS-GC1-032-2-1.2.S",150113,146946,154497,151282
"EUK.IS-GC1-032-3-1.3.S",60806,59517,66458,64918
"EUK.IS-GC1-032-4-1.4.S",77965,76225,77198,75317
"EUK.IS-GC1-032-5-1.5.S",149620,145988,143918,140674
"EUK.IS-GC1-032-6-1.6.S",51563,50390,48675,47509
"EUK.IS-GC1-032-7-1.7.S",113787,110185,122156,118700
"EUK.IS-GC1-032-8-1.8.S",59181,57765,66247,64799
"EUK.IS-GC1-036-1-3.1.S",45722,44295,50519,49185
"EUK.IS-GC1-036-2-3.2.S",4748,4575,4444,4311
"EUK.IS-GC1-036-3-3.3.S",60116,58559,68661,67100
"EUK.IS-GC1-036-4-3.4.S",97495,95264,104937,102769
"EUK.IS-GC1-036-5-3.5.S",134926,130882,141416,137714
"EUK.IS-GC1-036-6-3.6.S",61864,60012,63889,62249
"EUK.IS-GC1-036-7-3.7.S",14961,14162,16368,15614
"EUK.IS-GC1-036-8-3.8.S",69627,67793,76269,74250
"EUK.IS-GC1-040-1-1.1.S",81265,78634,85450,82896
"EUK.IS-GC1-040-2-1.2.S",114538,112531,119868,117867
"EUK.IS-GC1-040-3-1.3.S",91860,90321,93819,92359
"EUK.IS-GC1-040-4-1.4.S",61771,60317,67748,66115
"EUK.IS-GC1-040-5-1.5.S",132670,129047,145706,142176
"EUK.IS-GC1-040-6-1.6.S",22115,21570,23282,22687
"EUK.IS-GC1-040-7-1.7.S",124598,121864,132220,129127
"EUK.IS-GC1-040-8-1.8.S",67477,65995,65623,64184
"EUK.IS-GC1-044-1-3.1.S",78147,75398,77737,75363
"EUK.IS-GC1-044-2-3.2.S",9974,9161,11118,10405
"EUK.IS-GC1-044-3-3.3.S",92356,89151,114391,111028
"EUK.IS-GC1-044-4-3.4.S",109961,107956,125210,122776
"EUK.IS-GC1-044-5-3.5.S",125941,122887,134313,130974
"EUK.IS-GC1-044-6-3.6.S",94179,90733,109411,106021
"EUK.IS-GC1-044-7-3.7.S",21070,19942,24260,23200
"EUK.IS-GC1-044-8-3.8.S",87973,85056,80277,77898
