value,year,record
1.743,1797,Arcticad13C
1.731,1796,Arcticad13C
1.817,1795,Arcticad13C
1.683,1794,Arcticad13C
1.699,1793,Arcticad13C
1.555892,1792,Arcticad13C
1.561847,1791,Arcticad13C
1.731638,1790,Arcticad13C
1.710441,1789,Arcticad13C
2.014596,1788,Arcticad13C
2.109,1787,Arcticad13C
2.163287,1786,Arcticad13C
2.15056,1785,Arcticad13C
2.062,1784,Arcticad13C
2.095,1783,Arcticad13C
2.25,1782,Arcticad13C
2.43,1781,Arcticad13C
2.472,1780,Arcticad13C
2.056,1779,Arcticad13C
1.768,1778,Arcticad13C
1.912,1777,Arcticad13C
1.832,1776,Arcticad13C
1.823,1775,Arcticad13C
1.873,1774,Arcticad13C
2.041,1773,Arcticad13C
2.216,1772,Arcticad13C
2.268,1771,Arcticad13C
2.607,1770,Arcticad13C
2.618,1769,Arcticad13C
2.006924,1768,Arcticad13C
2.176679,1767,Arcticad13C
2.956,1766,Arcticad13C
2.327059,1765,Arcticad13C
2.180163,1764,Arcticad13C
2.211288,1763,Arcticad13C
2.020135,1762,Arcticad13C
2.34336,1761,Arcticad13C
2.100059,1760,Arcticad13C
2.166705,1759,Arcticad13C
2.34771,1758,Arcticad13C
2.675698,1757,Arcticad13C
2.3605,1756,Arcticad13C
2.512163,1755,Arcticad13C
2.425874,1754,Arcticad13C
2.440202,1753,Arcticad13C
2.374408,1752,Arcticad13C
2.401602,1751,Arcticad13C
2.445181,1750,Arcticad13C
2.351433,1749,Arcticad13C
2.375337,1748,Arcticad13C
2.224593,1747,Arcticad13C
2.257037,1746,Arcticad13C
2.069129,1745,Arcticad13C
2.594165,1744,Arcticad13C
2.160259,1743,Arcticad13C
2.095119,1742,Arcticad13C
2.079186,1741,Arcticad13C
2.038158,1740,Arcticad13C
2.152402,1739,Arcticad13C
2.200316,1738,Arcticad13C
2.184033,1737,Arcticad13C
1.955284,1736,Arcticad13C
2.134673,1735,Arcticad13C
1.688225,1734,Arcticad13C
2.773481,1733,Arcticad13C
2.56,1732,Arcticad13C
2.780699,1731,Arcticad13C
2.356,1730,Arcticad13C
2.573922,1729,Arcticad13C
2.571829,1728,Arcticad13C
2.574136,1727,Arcticad13C
2.412752,1726,Arcticad13C
2.364932,1725,Arcticad13C
2.378666,1724,Arcticad13C
2.353974,1723,Arcticad13C
2.616027,1722,Arcticad13C
2.456021,1721,Arcticad13C
2.3362,1720,Arcticad13C
2.368274,1719,Arcticad13C
2.499835,1718,Arcticad13C
2.416947,1717,Arcticad13C
2.502425,1716,Arcticad13C
2.603825,1715,Arcticad13C
2.529022,1714,Arcticad13C
2.396648,1713,Arcticad13C
2.343841,1712,Arcticad13C
2.333094,1711,Arcticad13C
2.141,1710,Arcticad13C
2.335877,1709,Arcticad13C
2.348458,1708,Arcticad13C
2.437295,1707,Arcticad13C
2.151,1706,Arcticad13C
2.177401,1705,Arcticad13C
2.463291,1704,Arcticad13C
2.225242,1703,Arcticad13C
2.352446,1702,Arcticad13C
1.9267,1701,Arcticad13C
2.165884,1700,Arcticad13C
2.164034,1699,Arcticad13C
1.431967,1698,Arcticad13C
1.685099,1697,Arcticad13C
1.538914,1696,Arcticad13C
1.738102,1695,Arcticad13C
2.276506,1694,Arcticad13C
2.274863,1693,Arcticad13C
1.99,1692,Arcticad13C
2.199295,1691,Arcticad13C
2.19395,1690,Arcticad13C
2.243359,1689,Arcticad13C
2.354202,1688,Arcticad13C
1.624143,1687,Arcticad13C
2.154942,1686,Arcticad13C
1.949098,1685,Arcticad13C
2.230765,1684,Arcticad13C
2.055202,1683,Arcticad13C
2.21,1682,Arcticad13C
2.152,1681,Arcticad13C
2.114,1680,Arcticad13C
2.124,1679,Arcticad13C
2.18467,1678,Arcticad13C
2.33096,1677,Arcticad13C
2.391846,1676,Arcticad13C
2.148608,1675,Arcticad13C
2.42,1674,Arcticad13C
2.34,1673,Arcticad13C
2.241,1672,Arcticad13C
2.074,1671,Arcticad13C
2.026,1670,Arcticad13C
1.751,1669,Arcticad13C
1.585,1668,Arcticad13C
1.872,1667,Arcticad13C
1.772318,1666,Arcticad13C
1.932,1665,Arcticad13C
2.09,1664,Arcticad13C
2.024,1663,Arcticad13C
1.979,1662,Arcticad13C
2.119,1661,Arcticad13C
2.185,1660,Arcticad13C
2.102,1659,Arcticad13C
2.265,1658,Arcticad13C
2.215,1657,Arcticad13C
2.132388,1656,Arcticad13C
2.044272,1655,Arcticad13C
2.333,1654,Arcticad13C
1.992,1653,Arcticad13C
2.093,1652,Arcticad13C
1.728,1651,Arcticad13C
1.961,1650,Arcticad13C
1.704,1649,Arcticad13C
1.694,1648,Arcticad13C
1.734598,1647,Arcticad13C
1.579,1646,Arcticad13C
1.571817,1645,Arcticad13C
1.499,1644,Arcticad13C
1.755,1643,Arcticad13C
1.868,1642,Arcticad13C
1.707,1641,Arcticad13C
1.825,1640,Arcticad13C
1.9495,1639,Arcticad13C
2.013,1638,Arcticad13C
2.126,1637,Arcticad13C
1.672,1636,Arcticad13C
2.365777,1635,Arcticad13C
2.374344,1634,Arcticad13C
2.164168,1633,Arcticad13C
2.12694,1632,Arcticad13C
2.09522,1631,Arcticad13C
2.297638,1630,Arcticad13C
2.24195,1629,Arcticad13C
2.344296,1628,Arcticad13C
2.399337,1627,Arcticad13C
2.278723,1626,Arcticad13C
2.280657,1625,Arcticad13C
2.305569,1624,Arcticad13C
2.324934,1623,Arcticad13C
2.12185,1622,Arcticad13C
1.856676,1621,Arcticad13C
2.160028,1620,Arcticad13C
2.255578,1619,Arcticad13C
2.278666,1618,Arcticad13C
2.128134,1617,Arcticad13C
2.013418,1616,Arcticad13C
2.033973,1615,Arcticad13C
2.002454,1614,Arcticad13C
2.129055,1613,Arcticad13C
2.130425,1612,Arcticad13C
2.100643,1611,Arcticad13C
2.093161,1610,Arcticad13C
2.060589,1609,Arcticad13C
2.212792,1608,Arcticad13C
2.153881,1607,Arcticad13C
2.229914,1606,Arcticad13C
2.07707,1605,Arcticad13C
2.099583,1604,Arcticad13C
2.280081,1603,Arcticad13C
1.978,1602,Arcticad13C
2.167257,1601,Arcticad13C
1.851,1600,Arcticad13C
1.969,1599,Arcticad13C
1.99,1598,Arcticad13C
2.09,1597,Arcticad13C
2.03,1596,Arcticad13C
2.188123,1595,Arcticad13C
2.257,1594,Arcticad13C
2.3,1593,Arcticad13C
2.321087,1592,Arcticad13C
2.052,1591,Arcticad13C
2.332644,1590,Arcticad13C
2.09,1589,Arcticad13C
1.92,1588,Arcticad13C
2.21,1587,Arcticad13C
2.357114,1586,Arcticad13C
2.356485,1585,Arcticad13C
1.906,1584,Arcticad13C
1.994,1583,Arcticad13C
2.153289,1582,Arcticad13C
2.336223,1581,Arcticad13C
1.998,1580,Arcticad13C
2,1579,Arcticad13C
2.14,1578,Arcticad13C
2.183829,1577,Arcticad13C
2.066608,1576,Arcticad13C
1.78258,1575,Arcticad13C
1.889951,1574,Arcticad13C
1.681461,1573,Arcticad13C
1.764036,1572,Arcticad13C
1.948983,1571,Arcticad13C
2.021994,1570,Arcticad13C
1.859467,1569,Arcticad13C
2.147635,1568,Arcticad13C
2.106036,1567,Arcticad13C
2.131309,1566,Arcticad13C
2.016828,1565,Arcticad13C
2.108563,1564,Arcticad13C
1.827013,1563,Arcticad13C
1.981555,1562,Arcticad13C
2.153405,1561,Arcticad13C
2.221531,1560,Arcticad13C
2.166492,1559,Arcticad13C
2.120445,1558,Arcticad13C
2.170486,1557,Arcticad13C
2.179758,1556,Arcticad13C
2.202197,1555,Arcticad13C
2.138697,1554,Arcticad13C
2.089281,1553,Arcticad13C
2.020563,1552,Arcticad13C
2.023279,1551,Arcticad13C
1.78137,1550,Arcticad13C
2.043665,1549,Arcticad13C
2.165362,1548,Arcticad13C
1.849049,1547,Arcticad13C
1.852518,1546,Arcticad13C
1.94945,1545,Arcticad13C
1.862432,1544,Arcticad13C
1.982048,1543,Arcticad13C
1.88576,1542,Arcticad13C
1.514,1541,Arcticad13C
2.061337,1540,Arcticad13C
2.208176,1539,Arcticad13C
2.017612,1538,Arcticad13C
2.164707,1537,Arcticad13C
1.981656,1536,Arcticad13C
1.984171,1535,Arcticad13C
1.971513,1534,Arcticad13C
1.940564,1533,Arcticad13C
1.761112,1532,Arcticad13C
1.835942,1531,Arcticad13C
1.85141,1530,Arcticad13C
1.97,1529,Arcticad13C
1.74,1528,Arcticad13C
1.77,1527,Arcticad13C
2.1,1526,Arcticad13C
2.2,1525,Arcticad13C
2.02,1524,Arcticad13C
1.913,1523,Arcticad13C
2.04,1522,Arcticad13C
2.079,1521,Arcticad13C
1.96735,1520,Arcticad13C
1.717979,1519,Arcticad13C
1.864299,1518,Arcticad13C
2.036848,1517,Arcticad13C
2.636,1516,Arcticad13C
2.295,1515,Arcticad13C
2.07,1514,Arcticad13C
2.245,1513,Arcticad13C
1.888,1512,Arcticad13C
2.124,1511,Arcticad13C
1.903,1510,Arcticad13C
2.437,1509,Arcticad13C
2.32,1508,Arcticad13C
2.72,1507,Arcticad13C
2.58,1506,Arcticad13C
2.209395,1505,Arcticad13C
2.121583,1504,Arcticad13C
1.574842,1503,Arcticad13C
1.779328,1502,Arcticad13C
1.795823,1501,Arcticad13C
1.852682,1500,Arcticad13C
2.097896,1499,Arcticad13C
1.937275,1498,Arcticad13C
1.854143,1497,Arcticad13C
1.732716,1496,Arcticad13C
1.849972,1495,Arcticad13C
2.193001,1494,Arcticad13C
2.326163,1493,Arcticad13C
1.635657,1492,Arcticad13C
2.03,1491,Arcticad13C
2.013002,1490,Arcticad13C
1.88,1489,Arcticad13C
2.24,1488,Arcticad13C
2.17,1487,Arcticad13C
1.99,1486,Arcticad13C
2.29,1485,Arcticad13C
2.2,1484,Arcticad13C
2.45,1483,Arcticad13C
2.68,1482,Arcticad13C
2.6585,1481,Arcticad13C
2.64,1480,Arcticad13C
2.46,1479,Arcticad13C
2.8,1478,Arcticad13C
2.189143,1477,Arcticad13C
2.34,1476,Arcticad13C
2.49,1475,Arcticad13C
2.331,1474,Arcticad13C
2.12,1473,Arcticad13C
2.228391,1472,Arcticad13C
2.039259,1471,Arcticad13C
1.747754,1470,Arcticad13C
1.849366,1469,Arcticad13C
2.001709,1468,Arcticad13C
1.972745,1467,Arcticad13C
2.062588,1466,Arcticad13C
2.033073,1465,Arcticad13C
1.848243,1464,Arcticad13C
1.762704,1463,Arcticad13C
1.482204,1462,Arcticad13C
2.346204,1461,Arcticad13C
2.371107,1460,Arcticad13C
2.320923,1459,Arcticad13C
2.114366,1458,Arcticad13C
2.157201,1457,Arcticad13C
2.346639,1456,Arcticad13C
2.079567,1455,Arcticad13C
2.197039,1454,Arcticad13C
2.264129,1453,Arcticad13C
2.198815,1452,Arcticad13C
2.071299,1451,Arcticad13C
2.000294,1450,Arcticad13C
2.029388,1449,Arcticad13C
2.138704,1448,Arcticad13C
2.251477,1447,Arcticad13C
2.143552,1446,Arcticad13C
2.229393,1445,Arcticad13C
2.31343,1444,Arcticad13C
2.318726,1443,Arcticad13C
2.23725,1442,Arcticad13C
2.15166,1441,Arcticad13C
2.224503,1440,Arcticad13C
2.332816,1439,Arcticad13C
2.271389,1438,Arcticad13C
2.16,1437,Arcticad13C
2.034959,1436,Arcticad13C
2.32,1435,Arcticad13C
2.196276,1434,Arcticad13C
2.25,1433,Arcticad13C
1.97,1432,Arcticad13C
1.99,1431,Arcticad13C
1.88,1430,Arcticad13C
1.978892,1429,Arcticad13C
2.091401,1428,Arcticad13C
1.97,1427,Arcticad13C
2.01,1426,Arcticad13C
1.93,1425,Arcticad13C
1.893574,1424,Arcticad13C
1.955485,1423,Arcticad13C
2.073864,1422,Arcticad13C
2.04,1421,Arcticad13C
2.203689,1420,Arcticad13C
2.062985,1419,Arcticad13C
2.00064,1418,Arcticad13C
2.076372,1417,Arcticad13C
2.364094,1416,Arcticad13C
2.233867,1415,Arcticad13C
2.220344,1414,Arcticad13C
2.090549,1413,Arcticad13C
1.973317,1412,Arcticad13C
1.963693,1411,Arcticad13C
1.978129,1410,Arcticad13C
2.059584,1409,Arcticad13C
2.01835,1408,Arcticad13C
1.902075,1407,Arcticad13C
1.940428,1406,Arcticad13C
1.923403,1405,Arcticad13C
2.042722,1404,Arcticad13C
2.06639,1403,Arcticad13C
1.88,1402,Arcticad13C
1.78,1401,Arcticad13C
1.813451,1400,Arcticad13C
1.898268,1399,Arcticad13C
2.104064,1398,Arcticad13C
1.764916,1397,Arcticad13C
1.978933,1396,Arcticad13C
2.171179,1395,Arcticad13C
1.951407,1394,Arcticad13C
1.78,1393,Arcticad13C
1.812082,1392,Arcticad13C
1.757244,1391,Arcticad13C
1.627447,1390,Arcticad13C
1.880089,1389,Arcticad13C
2.02,1388,Arcticad13C
1.613037,1387,Arcticad13C
1.985436,1386,Arcticad13C
1.928055,1385,Arcticad13C
1.845405,1384,Arcticad13C
2.005632,1383,Arcticad13C
2.059653,1382,Arcticad13C
1.175649,1381,Arcticad13C
1.51,1380,Arcticad13C
1.53,1379,Arcticad13C
1.283774,1378,Arcticad13C
1.5,1377,Arcticad13C
1.48,1376,Arcticad13C
1.65,1375,Arcticad13C
1.48,1374,Arcticad13C
1.16,1373,Arcticad13C
1.26,1372,Arcticad13C
1.11,1371,Arcticad13C
1.37,1370,Arcticad13C
1.34,1369,Arcticad13C
1.13,1368,Arcticad13C
1.24,1367,Arcticad13C
1.68,1366,Arcticad13C
1.26,1365,Arcticad13C
1.54,1364,Arcticad13C
1.302844,1363,Arcticad13C
1.118822,1362,Arcticad13C
1.458882,1361,Arcticad13C
1.8,1360,Arcticad13C
1.71,1359,Arcticad13C
1.54,1358,Arcticad13C
1.793107,1357,Arcticad13C
2.029192,1356,Arcticad13C
1.586214,1355,Arcticad13C
1.82,1354,Arcticad13C
2.34,1353,Arcticad13C
2.53,1352,Arcticad13C
2.53,1351,Arcticad13C
2.33,1350,Arcticad13C
1.82,1349,Arcticad13C
2.18,1348,Arcticad13C
1.845,1347,Arcticad13C
1.508008,1346,Arcticad13C
1.61,1345,Arcticad13C
1.80406,1344,Arcticad13C
1.962354,1343,Arcticad13C
1.931789,1342,Arcticad13C
2.226851,1341,Arcticad13C
2.028338,1340,Arcticad13C
2.01355,1339,Arcticad13C
1.20061,1338,Arcticad13C
2.006406,1337,Arcticad13C
2.080386,1336,Arcticad13C
2.024778,1335,Arcticad13C
2.082879,1334,Arcticad13C
2.011505,1333,Arcticad13C
2.116153,1332,Arcticad13C
1.888,1331,Arcticad13C
1.889562,1330,Arcticad13C
1.776,1329,Arcticad13C
1.973481,1328,Arcticad13C
2.075709,1327,Arcticad13C
2.152806,1326,Arcticad13C
2.2098,1325,Arcticad13C
2.034,1324,Arcticad13C
2.013307,1323,Arcticad13C
2.29,1322,Arcticad13C
1.84,1321,Arcticad13C
1.8,1320,Arcticad13C
2.06,1319,Arcticad13C
2.1,1318,Arcticad13C
2.2,1317,Arcticad13C
2.24,1316,Arcticad13C
2.04,1315,Arcticad13C
1.89,1314,Arcticad13C
1.94,1313,Arcticad13C
1.89,1312,Arcticad13C
1.99,1311,Arcticad13C
1.86,1310,Arcticad13C
1.95,1309,Arcticad13C
1.94,1308,Arcticad13C
1.97,1307,Arcticad13C
2,1306,Arcticad13C
1.95,1305,Arcticad13C
1.822,1304,Arcticad13C
1.822334,1303,Arcticad13C
1.95,1302,Arcticad13C
2.06,1301,Arcticad13C
2.02,1300,Arcticad13C
1.725,1299,Arcticad13C
1.94,1298,Arcticad13C
1.87,1297,Arcticad13C
1.81,1296,Arcticad13C
1.87,1295,Arcticad13C
1.81,1294,Arcticad13C
1.96,1293,Arcticad13C
2,1292,Arcticad13C
2.07,1291,Arcticad13C
1.92,1290,Arcticad13C
1.82,1289,Arcticad13C
1.856,1288,Arcticad13C
1.91,1287,Arcticad13C
2.01,1286,Arcticad13C
1.672,1285,Arcticad13C
2.070206,1284,Arcticad13C
2.06,1283,Arcticad13C
1.91,1282,Arcticad13C
2.13,1281,Arcticad13C
2.13,1280,Arcticad13C
1.964277,1279,Arcticad13C
2.29,1278,Arcticad13C
2.499462,1277,Arcticad13C
2.18,1276,Arcticad13C
1.76,1275,Arcticad13C
1.77,1274,Arcticad13C
1.84,1273,Arcticad13C
1.53,1272,Arcticad13C
1.74252,1271,Arcticad13C
1.61,1270,Arcticad13C
1.8825,1269,Arcticad13C
1.88,1268,Arcticad13C
1.74,1267,Arcticad13C
2.18,1266,Arcticad13C
2.23,1265,Arcticad13C
2.3005,1264,Arcticad13C
1.9,1263,Arcticad13C
2.217142,1262,Arcticad13C
2.06,1261,Arcticad13C
2.11,1260,Arcticad13C
2.43,1259,Arcticad13C
2.33524,1258,Arcticad13C
2.204576,1257,Arcticad13C
1.842,1256,Arcticad13C
1.74,1255,Arcticad13C
1.8245,1254,Arcticad13C
1.685,1253,Arcticad13C
1.989385,1252,Arcticad13C
1.853629,1251,Arcticad13C
2.58,1250,Arcticad13C
2.93,1249,Arcticad13C
2.688619,1248,Arcticad13C
2.889832,1247,Arcticad13C
2.93,1246,Arcticad13C
2.88,1245,Arcticad13C
3,1244,Arcticad13C
2.97,1243,Arcticad13C
2.94,1242,Arcticad13C
3.1,1241,Arcticad13C
3.15,1240,Arcticad13C
3.21,1239,Arcticad13C
3.14,1238,Arcticad13C
3.04,1237,Arcticad13C
3.01,1236,Arcticad13C
3.01,1235,Arcticad13C
2.77,1234,Arcticad13C
2.77,1233,Arcticad13C
2.79,1232,Arcticad13C
2.96,1231,Arcticad13C
2.72,1230,Arcticad13C
2.31,1229,Arcticad13C
2.52,1228,Arcticad13C
2.68,1227,Arcticad13C
2.71,1226,Arcticad13C
2.55,1225,Arcticad13C
